from;to
0;1
0;6
0;98
0;266
0;971
0;974
0;1355
0;1409
1;14
1;19
1;53
1;279
1;336
1;645
1;1027
1;1116
6;7
6;262
6;301
6;336
6;715
6;826
6;966
6;1199
6;1272
98;109
98;208
98;221
98;521
98;551
98;580
98;596
98;1088
98;1290
98;1380
98;1399
266;53
266;109
266;217
266;301
266;699
266;752
266;1009
266;1117
266;1199
266;1252
971;50
971;60
971;190
971;542
971;647
971;760
971;917
971;1025
971;1119
971;1162
971;1168
971;1375
971;1391
971;1394
974;317
974;507
974;552
974;637
974;795
974;958
974;1019
974;1064
974;1279
1355;472
1355;501
1355;690
1355;723
1355;737
1355;812
1355;824
1355;896
1355;946
1355;964
1355;1257
1409;47
1409;112
1409;135
1409;206
1409;285
1409;378
1409;613
1409;671
1409;735
1409;1008
1409;1214
14;536
14;580
14;752
14;880
14;929
14;1018
14;1021
14;1116
14;1124
14;1358
19;7
19;50
19;54
19;109
19;221
19;267
19;651
19;667
19;688
19;958
19;1116
19;1297
19;1354
19;1360
53;60
53;336
53;565
53;647
53;695
53;900
53;1019
53;1162
53;1380
53;1394
279;336
279;373
279;559
279;1121
279;1394
279;1399
336;34
336;337
336;445
336;557
336;708
336;752
336;815
336;1373
336;1380
645;155
645;214
645;248
645;393
645;612
645;667
645;706
645;850
645;857
645;1009
1027;109
1027;427
1027;651
1027;655
1027;770
1116;155
1116;373
1116;537
1116;588
1116;655
1116;708
1116;733
1116;829
1116;1018
1116;1019
1116;1190
1116;1274
1116;1354
7;40
7;542
7;667
7;733
7;834
7;1380
262;477
262;688
301;510
301;667
301;771
301;804
301;856
301;1162
301;1168
301;1196
715;28
715;251
715;745
715;836
715;869
715;917
715;958
715;1036
715;1255
715;1272
826;60
826;129
826;324
826;537
826;722
826;748
826;805
826;1076
966;27
966;209
966;214
966;537
966;880
966;1196
1199;221
1199;580
1199;999
1199;1380
1199;1391
1272;214
1272;310
1272;439
1272;521
1272;552
1272;747
1272;856
1272;1274
109;54
109;214
109;240
109;366
109;477
109;517
109;660
109;771
109;1066
208;28
208;139
208;209
208;363
208;850
208;900
208;1290
208;1397
221;288
221;316
221;439
221;660
221;917
221;1248
221;1373
221;1392
521;248
521;310
521;337
521;651
521;760
521;850
521;1088
551;580
551;1354
551;552
551;708
551;770
551;1197
551;1247
580;28
580;943
596;217
596;557
596;619
596;1133
596;1197
596;1318
596;1329
1088;40
1088;1279
1088;366
1088;719
1088;1121
1088;1168
1088;1182
1088;1391
1088;1399
1290;1297
1290;138
1290;510
1290;531
1290;1307
1290;1405
1380;28
1380;155
1380;427
1380;478
1380;854
1380;1117
1380;1255
1380;1274
1380;1358
1399;556
1399;900
1399;365
1399;439
1399;507
1399;655
1399;1252
217;248
217;707
217;1066
217;607
217;1375
217;209
217;317
